2023-11-18 03:20:39,210 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.cibertec:DSWII_CAS1_MaribelMaza:0.0.1-SNAPSHOT @ D:\Install\Java Mars\workspace_maven\DSWII_CAS1_MaribelMaza\pom.xml.
2023-11-18 03:20:42,162 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /DSWII_CAS1_MaribelMaza/src/main/java
2023-11-18 03:20:42,162 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /DSWII_CAS1_MaribelMaza/src/main/resources
2023-11-18 03:20:42,163 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /DSWII_CAS1_MaribelMaza/src/test/java
2023-11-18 03:20:43,406 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 12 sec
2023-11-18 03:20:44,366 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-11-18 03:20:44,378 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-11-18 03:20:44,380 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-11-18 03:20:44,381 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Install\Java Mars\workspace_maven\DSWII_CAS1_MaribelMaza\src\test\resources
2023-11-18 03:21:07,397 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-11-18 03:21:07,399 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
